"Station Longitude","Station Latitude","Variable Name","Metric","Timestamp","Value","Infilled","Range check","Continuity check","Persistence check","Climatological check","Spatial check","Temporal check","Check outcome"
15.33772222,40.36086111,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.25302778,41.45391667,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.53202778,40.70355556,"Rainfall","SUM",2022-03-19,1.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.28797222,41.22341667,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.00311111,40.98394444,"Rainfall","SUM",2022-03-19,0.8,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.63958333,40.65038889,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.37122222,40.60541667,"Rainfall","SUM",2022-03-19,1.8,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.52843333,41.2582222,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.05355556,41.09102778,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.50527778,41.16730556,"Rainfall","SUM",2022-03-19,0.6,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.75288889,40.77841667,"Rainfall","SUM",2022-03-19,0.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.73188889,40.92005556,"Rainfall","SUM",2022-03-19,1.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
